socket,InternetOpen,shutdown,sendto,connect,bind,listen,accept,recv,send,InternetOpenUrl,InternetReadFile,InternetWriteFile
646,0,371,355978,408,569,2,7,7044,2079,0,648,0
654,0,376,357130,414,578,2,7,7106,2104,0,656,0
657,0,376,357130,417,584,2,7,7127,2114,0,659,0
657,0,376,357130,417,584,2,7,7127,2114,0,659,0
659,0,378,389898,417,584,2,7,7127,2114,0,661,0
667,0,383,392074,423,593,2,7,7190,2139,0,669,0
667,0,383,392074,423,593,2,7,7190,2139,0,669,0
667,0,383,392074,423,593,2,7,7190,2139,0,669,0
667,0,383,392074,423,593,2,7,7190,2139,0,669,0
675,0,386,394250,429,602,2,7,7252,2164,0,677,0
683,0,391,396426,435,611,2,7,7314,2189,0,685,0
683,0,391,396426,435,611,2,7,7314,2189,0,685,0
686,0,394,399498,435,611,2,7,7314,2189,0,685,0
689,0,397,402570,435,611,2,7,7314,2189,0,685,0
697,0,402,403722,441,620,2,7,7388,2214,0,693,0
700,0,405,409866,441,620,2,7,7388,2214,0,695,0
700,0,405,409866,441,620,2,7,7388,2214,0,695,0
704,0,408,416010,442,621,2,7,7388,2214,0,697,0
730,0,433,416036,442,621,2,7,7388,2214,0,697,0
736,0,436,418212,446,625,2,7,7405,2223,0,710,0
744,0,441,420388,452,634,2,7,7459,2248,0,718,0
744,0,441,420388,452,634,2,7,7459,2248,0,718,0
752,0,446,421540,458,643,2,7,7521,2273,0,726,0
752,0,446,421540,458,643,2,7,7521,2273,0,726,0
760,0,451,423716,464,652,2,7,7586,2299,0,734,0
760,0,451,423716,464,652,2,7,7586,2299,0,734,0
768,0,456,425892,470,661,2,7,7648,2324,0,742,0
776,0,461,427044,476,670,2,7,7710,2349,0,750,0
778,0,463,429092,476,670,2,7,7710,2349,0,750,0
786,0,468,431268,482,679,2,7,7765,2374,0,758,0
786,0,468,431268,482,679,2,7,7765,2374,0,758,0
789,0,471,432804,482,679,2,7,7765,2374,0,758,0
797,0,476,434980,488,688,2,7,7839,2399,0,766,0
805,0,481,436132,494,697,2,7,7913,2424,0,774,0
807,0,483,437156,494,697,2,7,7913,2424,0,776,0
808,0,484,453540,494,697,2,7,7913,2424,0,778,0
808,0,484,453540,494,697,2,7,7913,2424,0,778,0
811,0,487,455076,494,697,2,7,7913,2424,0,782,0
818,0,490,456804,498,704,2,7,7948,2436,0,783,0
825,0,493,459876,502,711,2,7,7992,2451,0,814,0
825,0,493,459876,502,711,2,7,7992,2451,0,814,0
833,0,498,462052,508,720,2,7,8056,2475,0,822,0
841,0,503,464228,514,729,2,7,8132,2500,0,830,0
849,0,508,466404,520,738,2,7,8206,2525,0,838,0
857,0,513,467556,526,747,2,7,8268,2550,0,846,0
857,0,513,467556,526,747,2,7,8268,2550,0,846,0
865,0,518,468708,532,756,2,7,8330,2575,0,854,0
873,0,521,469860,538,765,2,7,8390,2599,0,862,0
877,0,525,471908,538,765,2,7,8390,2599,0,872,0
883,0,528,474084,542,769,2,7,8407,2608,0,885,0
891,0,531,475236,548,778,2,7,8469,2633,0,893,0
891,0,531,475236,548,778,2,7,8469,2633,0,893,0
894,0,534,476772,548,778,2,7,8469,2633,0,897,0
902,0,539,478948,554,787,2,7,8544,2658,0,905,0
910,0,544,481124,560,796,2,7,8605,2682,0,913,0
910,0,544,481124,560,796,2,7,8605,2682,0,913,0
918,0,549,483300,566,805,2,7,8679,2707,0,921,0
926,0,554,485476,572,814,2,7,8741,2732,0,929,0
934,0,559,487652,578,823,2,7,8804,2757,0,937,0
942,0,564,489828,584,832,2,7,8869,2783,0,945,0
946,0,567,491364,585,833,2,7,8869,2783,0,945,0
954,0,572,493540,591,842,2,7,8930,2808,0,953,0
962,0,577,495716,597,851,2,7,8992,2833,0,961,0
966,0,580,497252,598,852,2,7,8992,2833,0,961,0
974,0,585,499428,604,861,2,7,9053,2858,0,969,0
982,0,590,501604,610,870,2,7,9115,2883,0,977,0
990,0,595,503780,616,879,2,7,9177,2908,0,985,0
998,0,600,505956,622,888,2,7,9239,2933,0,993,0
1006,0,605,508132,628,897,2,7,9301,2958,0,1001,0
1014,0,610,510308,634,906,2,7,9364,2983,0,1009,0
1015,0,611,510820,634,906,2,7,9364,2983,0,1011,0
