RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey
426076,134868,45,568442,3441,16491,498696,198902,40079
427833,134945,45,571795,3464,16556,500898,199120,40276
429313,134991,45,572958,3477,16617,502665,199242,40445
431463,135068,45,579654,3512,16626,505463,199428,40752
434120,135087,45,582997,3519,16976,516369,199678,41166
435643,135133,45,586286,3532,17038,518230,199809,41361
437428,135175,45,591483,3549,17044,520334,200482,41442
438627,135229,46,593528,3571,17050,521782,200672,41688
440139,135274,46,596747,3583,17109,523706,201158,41896
442162,135353,46,597994,3602,17504,525589,201973,42338
443736,135407,48,600035,3620,17510,527406,206717,42577
445125,135483,48,603022,3642,17569,529123,207333,42788
447600,135535,48,604769,3655,17970,531701,207632,43233
449977,135618,48,606444,3678,18371,534103,207981,43663
452378,135698,48,608140,3698,18772,536536,208335,44103
455976,135937,48,611280,3806,18827,540536,209394,44418
458256,135991,48,612894,3819,19228,542750,210436,44890
460619,136071,48,614558,3839,19629,545206,210791,45320
463836,136311,48,617433,3941,19670,548756,211197,45599
466112,136363,48,619074,3954,20068,550970,211491,46031
468505,136446,48,620770,3977,20469,553403,211850,46470
470990,136498,48,622517,3990,20870,555877,212126,46932
473667,136527,48,624028,4000,21267,565778,212394,47357
476155,136579,48,625777,4013,21668,568254,212661,47799
478441,136631,48,627445,4026,22066,570635,212922,48228
479813,136672,49,629367,4041,22072,572148,216712,48395
481413,136724,49,631840,4063,22078,574020,217377,48624
483785,136807,49,633520,4086,22476,576583,218922,49797
486079,136859,49,635188,4099,22874,579024,219183,50226
488471,136942,49,636886,4122,23271,581459,219537,50666
489825,136987,49,639872,4134,23327,583150,220060,50873
492637,137221,49,642481,4235,23368,586285,221165,51108
494956,137273,49,644170,4248,23766,588698,221441,51569
497112,137325,49,645785,4261,24164,590792,221726,51997
499486,137405,49,647481,4281,24565,593210,222077,52427
501898,137440,49,653562,4291,24626,595925,222341,52597
