socket,InternetOpen,shutdown,sendto,connect,bind,listen,accept,recv,send,InternetOpenUrl,InternetReadFile,InternetWriteFile
4,0,16,6886,0,45,0,3,0,0,0,981,0
4,0,16,6886,0,45,0,3,0,0,0,981,0
4,0,16,6886,0,45,0,3,0,0,0,981,0
4,0,16,6886,0,45,0,3,0,0,0,981,0
4,0,16,6886,0,45,0,3,0,0,0,981,0
4,0,16,6886,0,45,0,3,0,0,0,981,0
4,0,16,6886,0,45,0,3,0,0,0,981,0
4,0,16,6886,0,45,0,3,0,0,0,981,0
4,0,16,6886,0,45,0,3,0,0,0,981,0
4,0,16,6886,0,45,0,3,0,0,0,981,0
4,0,16,6886,0,45,0,3,0,0,0,981,0
4,0,16,6886,0,45,0,3,0,0,0,981,0
4,0,16,6886,0,45,0,3,0,0,0,981,0
4,0,16,6886,0,45,0,3,0,0,0,981,0
4,0,16,6886,0,45,0,3,0,0,0,981,0
4,0,16,6886,0,45,0,3,0,0,0,981,0
4,0,16,6886,0,45,0,3,0,0,0,981,0
4,0,18,6886,0,51,0,3,0,0,0,981,0
4,0,18,6886,0,51,0,3,0,0,0,981,0
4,0,18,6886,0,55,0,3,0,0,0,981,0
4,0,18,6886,0,55,0,3,0,0,0,981,0
4,0,18,6886,0,55,0,3,0,0,0,981,0
4,0,18,6886,0,55,0,3,0,0,0,981,0
4,0,18,6886,0,55,0,3,0,0,0,981,0
6,0,18,6886,0,56,1,3,0,1,0,981,0
6,0,18,6886,0,56,1,3,0,1,0,981,0
6,0,18,6886,0,56,1,3,0,1,0,981,0
6,0,18,6886,0,56,1,3,0,1,0,981,0
6,0,18,6886,0,56,1,3,0,1,0,981,0
6,0,18,6886,0,56,1,3,0,1,0,981,0
12,0,18,6886,6,62,1,3,29,16,0,981,0
12,0,18,6886,6,62,1,3,29,16,0,981,0
12,0,18,6886,6,62,1,3,29,16,0,981,0
12,0,18,6886,6,62,1,3,29,16,0,981,0
12,0,18,6886,6,62,1,3,29,16,0,981,0
12,0,18,6886,6,62,1,3,29,16,0,981,0
12,0,18,6886,6,62,1,3,29,16,0,981,0
12,0,18,6886,6,62,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,23,6886,6,69,1,3,29,16,0,981,0
12,0,24,6886,6,72,1,3,29,16,0,981,0
12,0,24,6886,6,72,1,3,29,16,0,981,0
12,0,24,6886,6,72,1,3,29,16,0,981,0
12,0,25,6886,6,76,1,3,29,16,0,981,0
12,0,25,6886,6,76,1,3,29,16,0,981,0
12,0,25,6886,6,76,1,3,29,16,0,981,0
12,0,25,6886,6,76,1,3,29,16,0,981,0
12,0,25,6886,6,76,1,3,29,16,0,981,0
12,0,25,6886,6,76,1,3,29,16,0,981,0
12,0,25,6886,6,76,1,3,29,16,0,981,0
12,0,27,6886,6,82,1,3,29,16,0,981,0
12,0,27,6886,6,82,1,3,29,16,0,981,0
12,0,27,6886,6,82,1,3,29,16,0,981,0
12,0,27,6886,6,82,1,3,29,16,0,981,0
12,0,27,6886,6,82,1,3,29,16,0,981,0
12,0,27,6886,6,82,1,3,29,16,0,981,0
12,0,27,6886,6,82,1,3,29,16,0,981,0
12,0,27,6886,6,82,1,3,29,16,0,981,0
12,0,27,6886,6,82,1,3,29,16,0,981,0
12,0,27,6886,6,82,1,3,29,16,0,981,0
12,0,27,6886,6,82,1,3,29,16,0,981,0
12,0,27,6886,6,82,1,3,29,16,0,981,0
12,0,27,6886,6,82,1,3,29,16,0,981,0
12,0,27,6886,6,82,1,3,29,16,0,981,0
12,0,27,6886,6,82,1,3,29,16,0,981,0
12,0,27,6886,6,82,1,3,29,16,0,981,0
12,0,27,6886,6,82,1,3,29,16,0,981,0
12,0,28,6886,6,83,1,3,29,16,0,981,0
12,0,28,6886,6,83,1,3,29,16,0,981,0
12,0,28,6886,6,83,1,3,29,16,0,981,0
12,0,28,6886,6,83,1,3,29,16,0,981,0
12,0,30,6886,6,89,1,3,29,16,0,981,0
12,0,30,6886,6,89,1,3,29,16,0,981,0
12,0,30,6886,6,89,1,3,29,16,0,981,0
12,0,30,6886,6,89,1,3,29,16,0,981,0
14,0,30,6886,8,91,1,3,34,19,0,982,0
14,0,30,6886,8,91,1,3,34,19,0,982,0
14,0,30,6886,8,91,1,3,34,19,0,982,0
14,0,30,6886,8,91,1,3,34,19,0,982,0
14,0,30,6886,8,91,1,3,34,19,0,982,0
14,0,30,6886,8,91,1,3,34,19,0,982,0
14,0,30,6886,8,91,1,3,34,19,0,982,0
14,0,30,6886,8,91,1,3,34,19,0,982,0
14,0,30,6886,8,91,1,3,34,19,0,982,0
14,0,30,6886,8,91,1,3,34,19,0,982,0
14,0,30,6886,8,91,1,3,34,19,0,982,0
14,0,30,6886,8,91,1,3,34,19,0,982,0
14,0,30,6886,8,93,1,3,34,19,0,982,0
14,0,30,6886,8,93,1,3,34,19,0,982,0
14,0,30,6886,8,93,1,3,34,19,0,982,0
14,0,30,6886,8,93,1,3,34,19,0,982,0
14,0,30,6886,8,93,1,3,34,19,0,982,0
14,0,30,6886,8,93,1,3,34,19,0,982,0
14,0,30,6886,8,93,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,31,6886,8,97,1,3,34,19,0,982,0
14,0,33,6886,8,103,1,3,34,19,0,982,0
14,0,33,6886,8,103,1,3,34,19,0,982,0
14,0,33,6886,8,103,1,3,34,19,0,982,0
