CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess
1982,0,546,35,27,232,124546,94002,2859,556
1983,0,547,35,27,232,124546,94002,2859,556
1983,0,548,36,28,233,124546,94036,2860,558
1984,0,549,36,28,233,124546,94036,2860,558
1986,0,550,36,28,233,124546,94036,2860,558
2003,0,559,37,29,240,124705,94036,2860,570
2138,0,560,37,29,240,139874,94036,2860,570
2139,0,561,37,29,240,139874,94036,2860,570
2141,0,562,37,29,240,139874,94036,2860,570
2158,0,570,37,29,244,140031,94036,2860,579
2159,0,571,37,29,244,140031,94036,2860,579
2159,0,572,37,29,244,140032,94036,2860,579
2160,0,573,37,29,246,140032,94036,2860,585
2179,0,581,37,29,250,140202,94036,2860,594
2180,0,582,37,29,250,140202,94036,2860,594
2181,0,583,39,30,251,140202,94036,2860,597
2182,0,584,39,30,251,140202,94036,2860,597
2201,0,592,40,31,256,140404,94036,2860,609
2201,0,592,40,31,256,140404,94036,2860,612
2202,0,593,40,31,256,140404,94036,2860,612
2203,0,594,40,31,256,140404,94036,2860,612
2204,0,595,40,31,256,140404,94036,2860,612
2208,0,596,40,31,257,140420,94036,2860,615
2212,0,597,40,31,257,140420,94036,2860,618
2213,0,598,40,31,257,140420,94036,2860,618
2214,0,599,40,31,257,140420,94036,2860,618
2215,0,600,40,31,257,140420,94036,2860,618
2216,0,601,40,31,257,140420,94036,2860,618
2216,0,601,40,31,258,140420,94036,2860,624
2217,0,602,40,31,258,140420,94036,2860,624
2218,0,603,40,31,258,140420,94036,2860,624
2218,0,603,40,31,259,140420,94036,2860,630
2220,0,604,40,31,259,140420,94036,2860,630
2220,0,604,40,31,260,140420,94036,2860,636
2221,0,605,40,31,260,140420,94036,2860,636
2229,0,608,40,31,263,140427,94036,2860,642
2230,0,609,40,31,263,140427,94036,2860,642
2231,0,610,40,31,263,140427,94036,2860,642
2244,0,615,40,31,267,140455,94036,2860,645
2245,0,616,40,31,267,140455,94036,2860,645
2246,0,617,40,31,267,140455,94036,2860,645
2247,0,618,40,31,269,140455,94036,2860,651
2248,0,619,40,31,269,140455,94036,2860,651
2249,0,620,40,31,269,140455,94036,2860,651
2266,0,628,40,31,273,140598,94036,2860,660
2267,0,629,41,32,274,140598,94036,2860,663
2267,0,629,41,32,274,140598,94036,2860,663
2268,0,630,43,33,275,140598,94036,2860,664
2272,0,631,43,33,275,140598,94036,2860,667
