FindNextFile,FindFirstFile,FindFirstFileEx,SetFilePointer,SetFilePointerEx,GetFileSize,GetFileSizeEx,SetFileAttributes,GetFileType,CopyFileEx,CopyFile,DeleteFile,EncryptFile,NtReadFile,NtWriteFile,GetFileAttributes,GetFileAttributesEx,CryptDeriveKey,CryptDecodeObject,CryptGenKey,CryptImportPublicKeyInfo,CryptAcquireContext,CryptAcquireContextW,RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey,socket,InternetOpen,shutdown,sendto,connect,bind,listen,accept,recv,send,InternetOpenUrl,InternetReadFile,InternetWriteFile,CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess,test
0,0,0,11866,47458,534,10798,0,515,0,0,0,0,388993,190331,0,0,0,0,0,0,0,23764,41717,1233,6,70879,459,2541,73258,18736,5372,146,0,98,38683,75,109,0,0,774,292,0,116,0,354,0,139,14,14,165,2551,2639,79,385,Cerber
0,0,0,12715,55698,576,12522,0,567,0,0,0,0,417194,199013,0,0,0,0,0,0,0,28704,44885,1466,6,75722,556,2582,76857,19111,5641,150,0,101,40219,76,110,0,0,774,292,0,116,0,380,0,151,15,15,175,2731,2705,81,404,Cerber
0,0,0,12774,55698,594,12522,0,567,0,0,0,0,417280,199050,0,0,0,0,0,0,0,28704,45515,1470,6,76015,558,2585,77360,19885,5722,155,0,101,40219,81,119,0,0,804,305,0,117,0,391,0,157,15,15,175,2731,2705,81,404,Cerber
0,0,0,13364,55830,618,12560,0,588,0,0,0,0,442075,199254,0,0,0,0,0,0,0,28709,47023,1516,6,79295,571,2650,79269,20015,5917,163,0,106,41371,87,128,0,0,866,330,0,125,0,406,0,165,16,16,180,2755,2767,83,417,Cerber
0,0,0,13786,55931,636,12581,0,609,0,0,0,0,466588,199424,0,0,0,0,0,0,0,28716,49350,1568,6,80986,584,3051,81631,20281,6356,171,0,111,43547,93,137,0,0,928,355,0,133,0,424,0,174,17,17,188,2766,2767,83,438,Cerber
0,0,0,14341,64116,670,14241,0,649,0,0,0,0,494629,207810,0,0,0,0,0,0,0,33626,51748,1603,6,87054,594,3112,84314,20417,6521,178,0,114,45083,97,144,0,0,962,367,0,134,0,442,0,181,18,18,195,2806,2837,85,454,Cerber
0,0,0,17895,69381,676,16041,0,668,0,0,0,0,498442,275015,0,0,0,0,0,0,0,33627,54244,1639,6,94824,614,3118,87509,21112,6826,180,0,116,77851,97,144,0,0,962,367,0,136,0,451,0,184,20,20,205,2884,2837,85,479,Cerber
0,0,0,17959,73394,677,16842,0,687,0,0,0,0,500111,279277,0,0,0,0,0,0,0,36034,54268,1639,6,94867,614,3124,87540,21140,6838,182,0,118,78875,97,144,0,0,962,367,0,136,0,457,0,184,21,21,208,2884,2903,87,483,Cerber
0,0,0,18011,73394,733,16891,0,698,0,0,0,0,500317,279282,0,0,0,0,0,0,0,36035,55863,1694,7,96937,635,3130,89352,27579,7068,182,0,118,78875,97,144,0,0,962,367,0,136,0,484,0,195,21,21,224,3011,2903,87,526,Cerber
0,0,0,22221,79555,740,18994,0,717,0,0,0,0,504935,357959,0,0,0,0,0,0,0,36036,58287,1730,7,103977,655,3136,92398,28264,7360,184,0,120,111643,97,144,0,0,962,367,0,138,0,494,0,198,23,23,236,3087,2903,87,551,Cerber
0,0,0,23181,87782,805,20716,0,766,0,0,0,0,533216,366640,0,0,0,0,0,0,0,40971,62267,1972,7,109368,771,3191,96909,29343,7706,188,0,123,113179,98,145,0,0,962,367,0,138,0,526,0,212,24,24,247,3319,2969,89,570,Cerber
0,0,0,23761,87951,828,20746,0,787,0,0,0,0,557904,366860,0,0,0,0,0,0,0,40976,63588,2018,7,110470,784,3256,98607,29464,7873,196,0,126,114331,104,154,0,0,1025,392,0,146,0,543,0,220,25,25,252,3329,3001,90,583,Cerber
0,0,0,23770,87952,842,20759,0,787,0,0,0,0,558089,366880,0,0,0,0,0,0,0,40977,64308,2018,7,113031,784,3256,99676,29487,7922,196,0,126,114331,104,154,0,0,1025,392,0,146,0,543,0,220,26,26,254,3343,3001,90,591,Cerber
0,0,0,23894,87952,962,20806,0,798,0,0,0,0,558355,366885,0,0,0,0,0,0,0,40978,65846,2066,8,115067,799,3262,101452,36063,8170,196,0,126,114331,104,154,0,0,1025,392,0,146,0,565,0,229,26,26,268,3653,3001,90,628,Cerber
0,0,0,23954,87954,966,20849,0,805,0,0,0,0,693966,502201,0,0,0,0,0,0,0,40979,138258,2079,8,121265,806,3268,103809,36696,8272,196,0,126,114331,104,154,0,0,1025,392,0,146,0,566,0,231,27,27,275,3728,3001,90,641,Cerber
0,0,0,24056,87955,981,20861,0,824,0,0,0,0,694242,502267,0,0,0,0,0,0,0,40983,138650,2079,8,123537,806,3274,104339,36732,8318,197,0,127,114843,104,154,0,0,1025,392,0,146,0,568,0,231,28,28,278,3742,3069,92,647,Cerber
0,0,0,24058,87955,982,20870,0,830,0,0,0,0,694255,502271,0,0,0,0,0,0,0,40984,138896,2092,8,124249,813,3280,104664,36757,8353,197,0,127,114843,104,154,0,0,1025,392,0,146,0,570,0,231,28,28,281,3783,3069,92,655,Cerber
