CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess
168,0,367,0,0,55,57342,38919,1171,321
168,0,367,0,0,55,57342,38919,1171,324
168,0,367,0,0,55,57342,38919,1171,325
168,0,367,0,0,55,57342,38919,1171,328
168,0,367,0,0,55,57342,38919,1171,331
168,0,367,0,0,55,57342,38919,1171,334
168,0,367,0,0,55,57342,38919,1171,334
173,0,367,0,0,55,57475,38919,1171,334
175,0,367,0,0,55,57475,38919,1171,334
176,0,367,0,0,55,57475,38919,1171,337
176,0,367,0,0,55,57475,38919,1171,337
177,0,368,0,0,55,57476,38919,1171,337
178,0,368,0,0,55,77221,58660,1766,337
178,0,368,0,0,55,77221,58660,1766,340
178,0,368,0,0,55,77221,58660,1766,343
178,0,368,0,0,55,77221,58660,1766,346
178,0,368,0,0,55,77221,58660,1766,349
179,0,369,0,0,55,87240,68675,2061,349
179,0,369,0,0,55,87240,68675,2061,352
180,0,369,0,0,55,87241,68675,2061,352
180,0,369,0,0,55,87241,68675,2061,355
184,0,371,0,0,57,87252,68675,2061,358
184,0,371,0,0,57,87252,68675,2061,361
184,0,371,0,0,57,87252,68675,2061,364
184,0,389,0,0,59,87252,68675,2061,364
192,0,395,0,0,59,87252,68675,2061,364
192,0,395,0,0,59,87252,68675,2061,364
194,0,395,0,0,59,87252,68675,2061,364
194,0,395,0,0,59,87252,68675,2061,367
194,0,395,0,0,59,87252,68675,2061,370
195,0,395,0,0,59,102614,84033,2523,370
198,0,395,0,0,59,102615,84033,2523,370
198,0,395,0,0,59,102615,84033,2523,373
198,0,395,0,0,59,102615,84033,2523,376
203,0,397,0,0,61,102626,84033,2523,379
302,0,398,0,0,61,102629,84033,2523,379
302,0,398,0,0,61,102629,84033,2523,379
304,0,398,0,0,61,102643,84033,2523,379
304,0,416,0,0,63,102643,84033,2523,379
304,0,416,0,0,63,102643,84033,2523,379
304,0,416,0,0,63,102643,84033,2523,382
304,0,416,0,0,63,102709,84101,2525,382
304,0,416,0,0,63,102709,84101,2525,385
304,0,416,0,0,63,102709,84101,2525,385
304,0,435,0,0,65,102709,84101,2525,385
304,0,435,0,0,65,102709,84101,2525,388
304,0,435,0,0,65,102709,84101,2525,391
304,0,435,0,0,66,102709,84101,2525,397
308,0,437,0,0,68,102720,84101,2525,400
308,0,456,0,0,70,102720,84101,2525,400
308,0,456,0,0,70,102720,84101,2525,400
449,0,457,0,0,70,102720,84101,2525,400
449,0,457,0,0,70,102720,84101,2525,403
449,0,457,0,0,71,102720,84101,2525,409
449,0,457,0,0,71,102720,84101,2525,412
