CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess
671,0,281,0,0,382,36120,286452,7450,741
671,0,281,0,0,383,36120,286452,7450,747
680,0,285,0,0,388,36278,286452,7450,765
689,0,289,0,0,393,36445,286452,7450,783
710,0,299,0,0,404,37195,286452,7450,819
710,0,299,0,0,405,37196,286452,7450,825
710,0,299,0,0,406,37196,286484,7451,831
711,0,299,0,0,410,37242,286521,7454,834
711,0,299,0,0,411,37242,286521,7454,840
757,0,322,0,0,430,37607,286521,7454,873
768,0,327,0,0,436,37730,286521,7454,894
768,0,327,0,0,437,37731,286521,7454,900
775,0,330,0,0,441,37885,286521,7454,915
780,0,330,0,0,444,37923,292615,7731,924
831,0,355,0,0,465,38321,292615,7731,963
831,0,355,0,0,466,38322,292615,7731,969
843,0,360,0,0,472,38694,292615,7731,990
843,0,360,0,0,473,38731,292615,7731,996
843,0,360,0,0,474,38732,292615,7731,1002
874,0,375,0,0,487,38828,292989,7740,1017
898,0,382,0,0,492,38898,298499,7882,1026
899,0,382,0,0,493,38936,298499,7882,1032
929,0,397,0,0,505,39029,298499,7882,1044
929,0,397,0,0,506,39029,298499,7882,1050
967,0,416,0,0,521,39353,298499,7882,1071
979,0,419,0,0,527,39443,305703,8210,1088
995,0,426,0,0,536,39706,305703,8210,1109
1014,0,434,0,0,547,40040,305703,8210,1139
1021,0,437,0,0,551,40129,305703,8210,1154
1051,0,452,0,0,563,40220,305703,8210,1166
1058,0,455,0,0,567,40378,305703,8210,1181
1078,0,463,0,0,574,40474,311255,8352,1193
1078,0,463,0,0,575,40512,311255,8352,1199
1078,0,463,0,0,576,40513,311255,8352,1205
1078,0,463,0,0,577,40513,311255,8352,1211
1078,0,463,0,0,578,40514,311255,8352,1217
1079,0,463,0,0,579,40557,311255,8352,1223
1098,0,472,0,0,589,40926,311255,8352,1256
1110,0,478,0,0,596,41103,311255,8352,1277
1112,0,478,0,0,598,41146,311255,8352,1277
1113,0,478,0,0,602,41192,335855,8987,1280
1156,0,493,0,0,612,41355,338636,9063,1295
1156,0,493,0,0,613,41355,338674,9064,1301
1156,0,493,0,0,614,41393,338674,9064,1307
1156,0,493,0,0,615,41393,338708,9065,1313
1159,0,493,0,0,617,41433,338708,9065,1313
