fc,fr,fs,cr,cs,rs,fp,cp,rp,sp,label
-0.106372008,-0.040753226,0.304584669,-0.150823054,-0.055123637,0.424856397,-0.164038533,-0.090486234,0.640053763,-0.10786649,Locky
-0.052608601,0.087622462,-0.087092142,-0.111052424,0.561496691,0.003563055,-0.101072445,-0.064527094,-0.094248934,-0.144353091,Genasom
-0.104560559,-0.205094018,-0.072152025,-0.118627437,-0.062728403,0.592381385,-0.19211767,-0.031738844,0.571250728,-0.118547526,Cerber
-0.044523582,0.283141491,-0.156066462,-0.141241287,-0.067289008,-0.074104334,-0.116325062,-0.070715568,0.470110746,-0.084816017,Reveton
-0.091809272,-0.148151201,0.272011231,-0.13772237,-0.066736221,0.119831723,-0.132760906,-0.074263559,0.663465857,-0.08568478,Locky
-0.056335389,0.169754723,-0.214217415,-0.135552632,0.11131474,0.294687706,-0.097742817,-0.06464253,-0.012599917,-0.15086149,Reveton
-0.056412201,0.152107663,-0.07288489,-0.143429016,-0.062575554,-0.008456706,-0.127827381,-0.085744701,0.500915246,-0.07480938,Bengin
-0.091855544,-0.14712892,0.27226336,-0.141561926,-0.066736221,0.119262325,-0.132617221,-0.074369595,0.667173961,-0.085598586,Locky
0.985008367,-0.127898278,0.999297759,-0.142499978,0.986165073,-0.122566211,-0.013487346,0.061431208,0.572130701,-0.007665593,Cryptolocker
0,-0.16217212,0,0,0,0,-0.079080895,0,0.381240487,0,Locky
0.080038984,-0.107235969,-0.227663465,-0.08051626,0.085203172,-0.184008098,-0.245400902,0.034397187,0.787114285,-0.150369862,CryptoWall
0.00128277,-0.100656893,-0.207251598,-0.125865719,0.181305388,-0.180685064,-0.100140295,-0.062368289,0.558397491,-0.148139264,TeslaCrypt
-0.106536021,-0.049605473,0.303606429,-0.151514289,-0.056554873,0.408138361,-0.1639252,-0.090563606,0.64396863,-0.107589619,Locky
-0.105530854,-0.096953376,0.28546364,-0.152594061,-0.060379311,0.329657093,-0.171659853,-0.092618873,0.675035903,-0.109628869,Locky
0.102182618,0.026628757,-0.243137979,-0.136779268,0.162046829,-0.201260624,-0.117459097,-0.062428514,0.533144012,-0.169586238,TeslaCrypt
-0.106489535,-0.061726233,0.300307517,-0.15241742,-0.058370598,0.388247814,-0.168578173,-0.092396586,0.655584857,-0.109509753,Locky
-0.105854662,-0.207362183,-0.072790018,-0.123008046,-0.062784468,0.605219598,-0.191971217,-0.034696568,0.558733349,-0.117151952,Cerber
-0.057185521,0.149590216,-0.073633797,-0.143433648,-0.062575554,-0.008399308,-0.128871358,-0.085739237,0.500821874,-0.074868019,Bengin
-0.099738279,-0.180227239,-0.071941236,-0.114817879,-0.062310729,0.526738618,-0.167774483,-0.053787957,0.443977748,-0.113030388,Cerber
-0.088332439,-0.141530609,0.2756397,-0.136316694,-0.05972156,0.137380026,-0.105709324,-0.062642548,0.153896656,-0.065755389,Locky
-0.095735599,-0.144935685,0.279924182,-0.142905405,-0.066736221,0.15628169,-0.137224886,-0.074453333,0.651067857,-0.086062956,Locky
-0.106466176,-0.059241829,0.301712048,-0.152279254,-0.058370598,0.391080771,-0.166236184,-0.091596391,0.653283128,-0.108494326,Locky
-0.105973216,-0.207449117,-0.072842185,-0.123358909,-0.062788803,0.606000952,-0.191853251,-0.034929326,0.558110821,-0.116992478,Cerber
-0.09707758,-0.140544489,0.286555211,-0.143912285,-0.065888792,0.16316563,-0.136570663,-0.074437864,0.644981383,-0.086232122,Locky
-0.106975663,-0.214887634,-0.074678452,-0.126944359,-0.062868442,0.590633752,-0.191205608,-0.038247552,0.560930249,-0.116110676,Cerber
-0.018720728,-0.118186961,-0.200753713,-0.125424119,0.177670703,-0.178531594,-0.089371228,-0.062321982,0.565293083,-0.155122518,TeslaCrypt
-0.056431956,0.300021117,-0.156469247,-0.143300899,-0.060457199,-0.001870939,-0.09841224,-0.064412198,0.266585766,-0.08116537,Reveton
-0.097151001,-0.180351102,-0.070179558,-0.116122131,-0.06236326,0.575957805,-0.169186491,-0.050088853,0.458825766,-0.114531501,Cerber
-0.004879208,-0.109733253,-0.205091461,-0.126126042,0.180165316,-0.180470192,-0.096882882,-0.062367094,0.561611249,-0.150123576,TeslaCrypt
-0.108339695,-0.216943718,-0.073813579,-0.127788498,-0.062895354,0.583797693,-0.19108706,-0.037214545,0.566483952,-0.115132929,Cerber
-0.106617125,-0.048548237,0.304092176,-0.151357803,-0.056564561,0.409555795,-0.164044481,-0.09053513,0.643740726,-0.107481606,Locky
-0.107188053,-0.211599509,-0.074127632,-0.125971215,-0.062840692,0.603440321,-0.191257033,-0.036624954,0.556169119,-0.115855255,Cerber
-0.10636428,-0.074021302,0.295004917,-0.152569775,-0.058370598,0.369912273,-0.170664896,-0.092722208,0.661884983,-0.10986385,Locky
0,-0.159584538,0,0,0,0,-0.078963521,0,0.400747662,0,Locky
-0.106489445,-0.061764768,0.300298855,-0.152420886,-0.058370598,0.388170726,-0.168583591,-0.092399647,0.65560058,-0.109513198,Locky
-0.10644048,-0.0386858,0.304613878,-0.15065255,-0.055994576,0.429471853,-0.163999666,-0.090485898,0.634997675,-0.107545557,Locky
-0.04272327,-0.132079953,-0.176592598,-0.129930609,0.123165352,-0.186085805,-0.076134976,-0.062317541,0.582143363,-0.15186981,TeslaCrypt
0.050766066,-0.017746964,-0.076441837,-0.13819428,-0.062497683,-0.013675653,-0.13911549,-0.090776409,0.650459542,-0.073235133,Bengin
0.128771196,-0.066451459,-0.07910921,-0.129340016,-0.062499348,0.013886448,-0.140434271,-0.090756049,0.653823401,-0.073362329,Bengin
-0.083864815,-0.167978808,0.252885903,-0.127071308,-0.059827817,0.038633589,-0.105723444,-0.062792309,0.118904739,-0.065065403,Locky
0.086381781,-0.082327629,-0.047515996,-0.132644636,-0.062501011,0.042988699,-0.140911951,-0.092221252,0.711895213,-0.072078891,Bengin
-0.052706806,0.298968805,-0.153231802,-0.140882549,-0.067355641,-0.048144694,-0.113264476,-0.071150181,0.381559877,-0.086316714,Reveton
0,-0.0481445,-0.167167566,0,0,-0.178143436,-0.073984267,0,0.32395851,-0.109100627,Bengin
-0.052699492,-0.052120393,-0.095151861,-0.128521593,-0.062595721,-0.051892847,-0.108547335,-0.088967821,0.397283017,-0.074488929,Bengin
-0.104912189,-0.10554782,0.283457758,-0.152409868,-0.062222124,0.305067266,-0.170212698,-0.092673356,0.681715521,-0.109196417,Locky
-0.051097741,0.293117788,-0.153605312,-0.141130157,-0.067986249,-0.057083494,-0.114375435,-0.071200306,0.416104565,-0.086008703,Reveton
0.103596527,0.020456051,-0.251767829,-0.138648323,0.166408,-0.200998943,-0.121381279,-0.062360759,0.532850578,-0.171055352,TeslaCrypt
-0.056504348,0.289028528,-0.158549063,-0.144264874,-0.059899064,0.008005658,-0.097732476,-0.064414291,0.272857054,-0.083129827,Reveton
0.849081101,-0.147483435,0,-0.104490023,0,0,-0.007559017,0.054020306,-0.054855227,0,CryptoWall
-0.046802685,0.279423479,-0.155210387,-0.141295798,-0.067357039,-0.064709138,-0.116291653,-0.071167569,0.459819894,-0.085311148,Reveton
-0.104885445,-0.105160167,0.284118997,-0.152408489,-0.062222124,0.305210429,-0.17017662,-0.09267842,0.681729879,-0.109188022,Locky
-0.037153613,-0.163556997,-0.031305441,-0.142791843,-0.066862009,0.009519638,-0.038831832,-0.067034447,0.512710566,-0.147949729,Cryptolocker
0.051121734,-0.016503436,-0.076414771,-0.13834014,-0.062497683,-0.014253403,-0.13876283,-0.090773954,0.65022259,-0.073200779,Bengin
-0.106478408,-0.061768592,0.300297341,-0.152421078,-0.058370598,0.388168164,-0.168590703,-0.092397073,0.655606036,-0.109511246,Locky
-0.088328218,-0.141448016,0.275731188,-0.136304332,-0.05972156,0.137509448,-0.105594063,-0.062578102,0.153770561,-0.065691178,Locky
-0.108276078,-0.218794595,-0.074674323,-0.128768113,-0.062903983,0.594325727,-0.191521247,-0.037748283,0.548527424,-0.115369432,Cerber
-0.105155084,-0.102323027,0.285140385,-0.152467218,-0.061797677,0.312744779,-0.170522833,-0.092665672,0.679999036,-0.1093002,Locky
-0.10525551,-0.100808462,0.284386222,-0.152303901,-0.060379311,0.319451995,-0.171082999,-0.092636305,0.677497766,-0.109539837,Locky
