file-crypt,file-register,file-socket,crypt-register,crypt-socket,register-socket,label,,,,FC,FR,FS,CR,CS,RS
-0.094522256,-0.22206494,-0.07774486,-0.141258094,-0.062319131,0.501047044,3,,,,,,,,,
-0.094358408,-0.221298259,-0.077477854,-0.141042702,-0.062319089,0.504201364,3,,,,,,,,,
-0.094348597,-0.221067465,-0.077473933,-0.140989995,-0.062319089,0.507635647,3,,,,,,,,,
-0.094255168,-0.221422013,-0.078263453,-0.140933386,-0.062319089,0.511055993,3,,,,,,,,,
-0.09508067,-0.219873907,-0.075979739,-0.140657342,-0.062316783,0.520983348,3,,,,,,,,,
-0.095285045,-0.219228684,-0.075548123,-0.140582096,-0.062318858,0.527918311,3,,,,,,,,,
-0.095285045,-0.219229953,-0.075548123,-0.140582916,-0.062318858,0.527915913,3,,,,,,,,,
-0.095275718,-0.218718585,-0.075581157,-0.140423318,-0.062319231,0.521545974,3,,,,,,,,,
-0.095268441,-0.218915878,-0.07555401,-0.140654007,-0.062319231,0.521330784,3,,,,,,,,,
-0.095268074,-0.21875033,-0.075553244,-0.140641257,-0.062319231,0.522055828,3,,,,,,,,,
-0.09506137,-0.219148065,-0.076586203,-0.140579864,-0.062319231,0.525145186,3,,,,,,,,,
-0.094962809,-0.218559579,-0.076401296,-0.140369032,-0.062314953,0.527800877,3,,,,,,,,,
-0.095473791,-0.218389825,-0.075016853,-0.140638463,-0.06233551,0.527892704,3,,,,,,,,,
-0.095371003,-0.2190991,-0.074902901,-0.141244159,-0.06233551,0.526178488,3,,,,,,,,,
-0.095371965,-0.218543656,-0.074877556,-0.141108147,-0.06233551,0.53185364,3,,,,,,,,,
-0.095371739,-0.218427035,-0.074876311,-0.141068251,-0.06233551,0.5326759,3,,,,,,,,,
-0.095300537,-0.218129512,-0.074728363,-0.140925452,-0.062331766,0.532304392,3,,,,,,,,,
-0.095623438,-0.218181789,-0.075105869,-0.140847581,-0.06233462,0.535180802,3,,,,,,,,,
-0.095933879,-0.218211603,-0.075463929,-0.140768632,-0.06233742,0.538028624,3,,,,,,,,,
-0.095843732,-0.217774698,-0.075310579,-0.140618268,-0.062336063,0.540339572,3,,,,,,,,,
-0.096303235,-0.216584541,-0.074103893,-0.140409848,-0.062340716,0.546400438,3,,,,,,,,,
-0.096211473,-0.216958726,-0.074452637,-0.140533803,-0.062340716,0.531279892,3,,,,,,,,,
-0.096463317,-0.215174896,-0.073015874,-0.140289396,-0.062342653,0.536583998,3,,,,,,,,,
-0.096467447,-0.214546699,-0.073031683,-0.139420499,-0.062342083,0.52828135,3,,,,,,,,,
-0.096104618,-0.215150312,-0.074463015,-0.139366478,-0.062342083,0.530893911,3,,,,,,,,,
-0.096104711,-0.215151531,-0.074463097,-0.139367151,-0.062342083,0.530893012,3,,,,,,,,,
-0.096105082,-0.215044926,-0.074463178,-0.139333123,-0.062342083,0.531639864,3,,,,,,,,,
-0.096064313,-0.214747782,-0.074360612,-0.139205735,-0.062338945,0.533721914,3,,,,,,,,,
-0.096016577,-0.214356515,-0.074261127,-0.13902501,-0.062335353,0.536014779,3,,,,,,,,,
-0.096102214,-0.214222002,-0.074334257,-0.138960276,-0.062337103,0.538537696,3,,,,,,,,,
-0.096102303,-0.214222382,-0.074334342,-0.138960457,-0.062337103,0.538537532,3,,,,,,,,,
-0.096316792,-0.214144335,-0.07445465,-0.138917408,-0.062338974,0.538137768,3,,,,,,,,,
-0.096251481,-0.213750651,-0.074408122,-0.138732726,-0.062337697,0.540173104,3,,,,,,,,,
-0.096251733,-0.213423923,-0.074394026,-0.13865548,-0.062337697,0.543210134,3,,,,,,,,,
-0.096450339,-0.212978556,-0.074578803,-0.138397819,-0.062338875,0.547900025,3,,,,,,,,,
-0.096450465,-0.212833276,-0.074578212,-0.138372018,-0.062338875,0.548438882,3,,,,,,,,,
-0.096386482,-0.212401477,-0.074465934,-0.138191485,-0.062338457,0.550342013,3,,,,,,,,,
-0.096319335,-0.212143072,-0.074351239,-0.138118429,-0.062337673,0.551953285,3,,,,,,,,,
-0.096247778,-0.211791677,-0.074238988,-0.137984149,-0.062334212,0.553752267,3,,,,,,,,,
